country,population,gdppc,lifeexp
Togo,7.889094,1.5525476723323,60.76
Thailand,69.428524,18.086507709175798,76.931
Tajikistan,9.100837,3.23472157879638,70.879
Timor-Leste,1.267972,3.0798948369075103,69.26
Turkmenistan,5.850908,14.8453294260971,68.073
Tunisia,11.565204,10.7637855846866,76.505
Tonga,0.103197,6.26690311383932,70.801
Turkey,82.319724,28.2988658406785,77.437
Trinidad and Tobago,1.389858,26.272908402352098,73.38
Tanzania,56.318348,2.5899756018641202,65.015
Ukraine,44.622518,12.3380028039485,71.5826829268293
Uganda,42.723139,2.1221097999405503,62.973
United States,326.687501,61.3913729620784,78.5390243902439
Uruguay,3.449299,21.590833479898,77.77
Uzbekistan,32.9561,6.7554809736679,71.573
St. Vincent and the Grenadines,0.11021,12.466416136054601,72.415
Vietnam,95.540395,7.58638493872479,75.317
Vanuatu,0.29268,3.12988591414451,70.323
Samoa,0.19613,6.329354503503191,73.187
South Africa,57.779622,12.6307474848479,63.857
Zambia,17.351822,3.52153164508047,63.51
Zimbabwe,14.439018,3.13002950059825,61.195
