Year,Month,Inflat,Unemp
2000,jan,10,7
2000,febr.,9.8,7.2
2000,march,9.6,6
2000,april,9.2,6.9
2000,may,9.1,6.7
2000,june,9.1,6
2000,july,9.6,6.6
2000,aug.,9.6,6.5
2000,sept,10.3,5.7
2000,october,10.4,6.2
2000,nov.,10.6,6
2000,dec.,10.1,5.7
2001,jan,10.1,6
2001,febr.,10.4,6.3
2001,march,10.5,5.6
2001,april,10.3,5.8
2001,may,10.8,5.7
2001,june,10.5,5.4
2001,july,9.4,5.7
2001,aug.,8.7,5.8
2001,sept,8,5.3
2001,october,7.6,5.6
2001,nov.,7.1,5.8
2001,dec.,6.8,5.4
2002,jan,6.6,5.6
2002,febr.,6.2,5.7
2002,march,5.9,5.8
2002,april,6.1,5.7
2002,may,5.6,5.7
2002,june,4.8,5.6
2002,july,4.6,5.9
2002,aug.,4.5,5.9
2002,sept,4.6,5.9
2002,october,4.9,5.9
2002,nov.,4.8,5.9
2002,dec.,4.8,5.9
2003,jan,4.7,6
2003,febr.,4.5,6.3
2003,march,4.7,6.4
2003,april,3.9,6.2
2003,may,3.6,6
2003,june,4.3,5.8
2003,july,4.7,5.7
2003,aug.,4.7,5.7
2003,sept,4.7,5.7
2003,october,4.9,5.6
2003,nov.,5.6,5.5
2003,dec.,5.7,5.5
2004,jan,6.6,5.8
2004,febr.,7.1,6
2004,march,6.7,6.1
2004,april,6.9,6
2004,may,7.6,5.8
2004,june,7.5,5.8
2004,july,7.2,5.9
2004,aug.,7.2,5.9
2004,sept,6.6,6.1
2004,october,6.3,6.1
2004,nov.,5.8,6.3
2004,dec.,5.5,6.3
2005,jan,4.1,6.6
2005,febr.,3.2,6.9
2005,march,3.5,7.1
2005,april,3.9,7.2
2005,may,3.6,7.2
2005,june,3.8,7.1
2005,july,3.7,7.1
2005,aug.,3.6,7.2
2005,sept,3.7,7.3
2005,october,3.2,7.3
2005,nov.,3.3,7.2
2005,dec.,3.3,7.3
2006,jan,2.7,7.5
2006,febr.,2.5,7.8
2006,march,2.3,7.7
2006,april,2.3,7.6
2006,may,2.8,7.3
2006,june,2.8,7.2
2006,july,3,7.4
2006,aug.,3.5,7.4
2006,sept,5.9,7.5
2006,october,6.3,7.5
2006,nov.,6.4,7.5
2006,dec.,6.5,7.5
2007,jan,7.8,7.5
2007,febr.,8.8,7.4
2007,march,9,7.5
2007,april,8.8,7.5
2007,may,8.5,7.3
2007,june,8.6,7
2007,july,8.4,7
2007,aug.,8.3,7.2
2007,sept,6.4,7.3
2007,october,6.7,7.4
2007,nov.,7.1,7.5
2007,dec.,7.4,7.8
2008,jan,7.1,8.2
2008,febr.,6.9,8.1
2008,march,6.7,8
2008,april,6.6,7.7
2008,may,7,7.7
2008,june,6.7,7.6
2008,july,6.7,7.5
2008,aug.,6.5,7.4
2008,sept,5.7,7.7
2008,october,5.1,7.7
2008,nov.,4.2,7.8
2008,dec.,3.5,8
2009,jan,3.1,8.5
2009,febr.,3,9.2
2009,march,2.9,9.8
2009,april,3.4,9.9
2009,may,3.8,9.8
2009,june,3.7,9.6
2009,july,5.1,9.7
2009,aug.,5,10
2009,sept,4.9,10.3
2009,october,4.7,10.3
2009,nov.,5.2,10.5
2009,dec.,5.6,10.4
2010,jan,6.4,10.9
2010,febr.,5.7,11.4
2010,march,5.9,11.8
2010,april,5.7,11.8
2010,may,5.1,11.5
2010,june,5.3,11.2
2010,july,4,11
2010,aug.,3.7,11
2010,sept,3.8,10.8
2010,october,4.2,10.8
2010,nov.,4.2,10.7
2010,dec.,4.7,10.8
2011,jan,4,11.2
2011,febr.,4.1,11.6
2011,march,4.5,11.8
2011,april,4.7,11.5
2011,may,3.9,11.1
2011,june,3.5,10.9
2011,july,3.1,10.8
2011,aug.,3.6,10.8
2011,sept,3.6,10.7
2011,october,3.9,10.9
2011,nov.,4.3,10.7
2011,dec.,4.1,10.7
2012,jan,5.5,11.2
2012,febr.,5.9,11.7
2012,march,5.5,11.9
2012,april.,5.7,11.7
2012,may,5.3,11.4
2012,june,5.6,11
2012,july,5.8,10.7
2012,aug.,6,10.5
2012,sept,6.6,10.5
2012,october,6,10.5
2012,nov.,5.2,10.6
2012,dec.,5,10.6
2013,jan,3.7,11.1
2013,febr.,2.8,11.5
2013,march,2.2,11.6
2013,april.,1.7,10.9
2013,may,1.8,10.5
2013,june,1.9,10.2
2013,july,1.8,10.1
2013,aug.,1.3,10
2013,sept,1.4,9.8
2013,october,0.9,9.7
2013,nov.,0.9,9.2
2013,dec.,0.4,9.1
2014,jan,0,8.8
2014,febr.,0.1,8.4
2014,march,0.1,8.3
2014,april.,-0.1,8.1
2014,may,-0.1,8.1
2014,june,-0.3,8.1
2014,july,0.1,8
2014,aug.,0.2,7.7
2014,sept,-0.5,7.4
2014,october,-0.4,7.1
2014,nov.,-0.7,7.2
2014,dec.,-0.9,7.1
2015,jan,-1.4,7.4
2015,febr.,-1,7.7
2015,march,-0.6,7.8
2015,april.,-0.3,7.6
2015,may,0.5,7.1
2015,june,0.6,6.9
2015,july,0.4,6.8
2015,aug.,0,6.7
2015,sept,-0.4,6.4
2015,october,0.1,6.4
2015,nov.,0.5,6.2
2015,dec.,0.9,6.2
2016,jan,0.9,6.2
2016,febr.,0.3,6.1
2016,march,-0.2,6
2016,april.,0.2,5.8
2016,may,-0.2,5.5
2016,june,-0.2,5.1
2016,july,-0.3,5
2016,aug.,-0.1,4.9
2016,sept,0.6,4.9
2016,october,1,4.7
2016,nov.,1.1,4.5
2016,dec.,1.8,4.4
2017,jan,2.3,4.3
2017,febr.,2.9,4.4
2017,march,2.7,4.5
2017,april.,2.2,4.6
2017,may,2.1,4.4
2017,june,1.9,4.3
2017,july,2.1,4.2
2017,aug.,2.6,4.2
2017,sept,2.5,4.1
2017,october,2.2,4
2017,nov.,2.5,3.8
2017,dec.,2.1,3.8
2018,jan,2.1,3.8
2018,febr.,1.9,3.8
2018,march,2,3.9
2018,april.,2.3,3.8
2018,may,2.8,3.7
2018,june,3.1,3.6
2018,july,3.4,3.6
2018,aug.,3.4,3.7
2018,sept,3.6,3.8
2018,october,3.8,3.7
2018,nov.,3.1,3.6
2018,dec.,2.7,3.6
2019,jan,2.7,3.7
2019,febr.,3.1,3.6
2019,march,3.7,3.6
2019,april.,3.9,3.5
2019,may,3.9,3.4
2019,june,3.4,3.3
2019,july,3.3,3.4
2019,aug.,3.1,3.4
2019,sept,2.8,3.5
2019,october,2.9,3.5
2019,nov.,3.4,3.5
2019,dec.,4,3.3
2020,jan,4.7,3.4
2020,febr.,4.4,3.5
2020,march,3.9,3.7
2020,april.,2.4,3.8
2020,may,2.2,4.1
2020,june,2.9,4.6
2020,july,3.8,4.8
2020,aug.,3.9,4.6
2020,sept,3.4,4.4
2020,october,3,4.3
2020,nov.,2.7,
2020,dec.,,
