Date,EUR
2004. september 8.,249.1
2004. september 9.,248.89
2004. september 10.,250.61
2004. september 13.,249.58
2004. september 14.,248.23
2004. september 15.,248.28
2004. september 16.,247.36
2004. september 17.,247.26
2004. september 20.,247.3
2004. september 21.,246.52
2004. september 22.,246.9
2004. september 23.,246.22
2004. september 24.,245.7
2004. september 27.,246
2004. september 28.,246.41
2004. september 29.,246.97
2004. september 30.,247.02
2004. october 1.,246.64
2004. october 4.,246.92
2004. october 5.,245.74
2004. october 6.,245.83
2004. october 7.,245.82
2004. october 8.,245.89
2004. october 11.,245.53
2004. october 12.,246.31
2004. october 13.,247.17
2004. october 14.,247.4
2004. october 15.,247.7
2004. october 18.,248.16
2004. october 19.,246.88
2004. october 20.,246.98
2004. october 21.,247.1
2004. october 22.,246.92
2004. october 25.,247.29
2004. october 26.,248.31
2004. october 27.,247.32
2004. october 28.,246.76
2004. october 29.,246.12
2004. november 2.,245.67
2004. november 3.,246.01
2004. november 4.,245.68
2004. november 5.,245.45
2004. november 8.,245.54
2004. november 9.,245.35
2004. november 10.,245.06
2004. november 11.,244.75
2004. november 12.,244.73
2004. november 15.,243.42
2004. november 16.,244.21
2004. november 17.,244.06
2004. november 18.,244.76
2004. november 19.,247.38
2004. november 22.,246.82
2004. november 23.,244.84
2004. november 24.,245.11
2004. november 25.,245.18
2004. november 26.,245.06
2004. november 29.,245.95
2004. november 30.,246.67
2004. december 1.,245.1
2004. december 2.,244.03
2004. december 3.,244.77
2004. december 6.,244.53
2004. december 7.,245.77
2004. december 8.,245.88
2004. december 9.,246.76
2004. december 10.,249.28
2004. december 13.,247.34
2004. december 14.,246.98
2004. december 15.,245.9
2004. december 16.,245.79
2004. december 17.,246.33
2004. december 20.,245.19
2004. december 21.,245.17
2004. december 22.,245.95
2004. december 23.,246.23
2004. december 27.,245.9
2004. december 28.,245.73
2004. december 29.,245.61
2004. december 30.,245.69
2004. december 31.,245.93
2005. january 3.,245.6
2005. january 4.,245.61
2005. january 5.,246.19
2005. january 6.,247.43
2005. january 7.,248.39
2005. january 10.,247.9
2005. january 11.,246.94
2005. january 12.,247.88
2005. january 13.,247.04
2005. january 14.,247.1
2005. january 17.,246.58
2005. january 18.,246.56
2005. january 19.,246.61
2005. january 20.,246.98
2005. january 21.,246.9
2005. january 24.,246.35
2005. january 25.,245.73
2005. january 26.,245.8
2005. january 27.,245.22
2005. january 28.,245.35
2005. january 31.,245.7
2005. february 1.,245.62
2005. february 2.,245.53
2005. february 3.,244.21
2005. february 4.,244.19
2005. february 7.,244.15
2005. february 8.,244.08
2005. february 9.,244.27
2005. february 10.,244.44
2005. february 11.,244.47
2005. february 14.,244.47
2005. february 15.,244.11
2005. february 16.,243.72
2005. february 17.,243.3
2005. february 18.,242.93
2005. february 21.,243.5
2005. february 22.,242.66
2005. february 23.,242.69
2005. february 24.,242.49
2005. february 25.,242.52
2005. february 28.,242.13
2005. march 1.,241.94
2005. march 2.,242.22
2005. march 3.,242.25
2005. march 4.,242.58
2005. march 7.,241.92
2005. march 8.,241.6
2005. march 9.,241.42
2005. march 10.,244.04
2005. march 11.,243.3
2005. march 16.,246.38
2005. march 17.,247.92
2005. march 18.,245.65
2005. march 21.,246.23
2005. march 22.,246.65
2005. march 23.,247.98
2005. march 24.,246.99
2005. march 25.,247.18
2005. march 29.,248.5
2005. march 30.,247.51
2005. march 31.,247.18
2005. april 1.,247.31
2005. april 4.,247.44
2005. april 5.,247.4
2005. april 6.,246.87
2005. april 7.,246.2
2005. april 8.,246.29
2005. april 11.,246
2005. april 12.,246.04
2005. april 13.,245.95
2005. april 14.,246.58
2005. april 15.,247.27
2005. april 18.,248.4
2005. april 19.,249.82
2005. april 20.,249.18
2005. april 21.,248.56
2005. april 22.,249.19
2005. april 25.,250.07
2005. april 26.,249.41
2005. april 27.,250.07
2005. april 28.,250.64
2005. april 29.,252.66
2005. may 2.,252.25
2005. may 3.,251.6
2005. may 4.,250.89
2005. may 5.,249.35
2005. may 6.,249.58
2005. may 9.,249.6
2005. may 10.,250.85
2005. may 11.,251.58
2005. may 12.,250.2
2005. may 13.,251.34
2005. may 17.,252.8
2005. may 18.,252.65
2005. may 19.,251.3
2005. may 20.,251.74
2005. may 23.,252.88
2005. may 24.,253.63
2005. may 25.,255.08
2005. may 26.,252.81
2005. may 27.,253.93
2005. may 30.,254.35
2005. may 31.,253.91
2005. june 1.,254.13
2005. june 2.,252.86
2005. june 3.,250.71
2005. june 6.,249.24
2005. june 7.,249.23
2005. june 8.,250.19
2005. june 9.,250.08
2005. june 10.,249.75
2005. june 13.,249.49
2005. june 14.,249.53
2005. june 15.,248.55
2005. june 16.,248.08
2005. june 17.,247.91
2005. june 20.,248.57
2005. june 21.,247.8
2005. june 22.,247.77
2005. june 23.,247.63
2005. june 24.,246.96
2005. june 27.,247.2
2005. june 28.,248.14
2005. june 29.,247.63
2005. june 30.,247.36
2005. july 1.,246.85
2005. july 4.,247.09
2005. july 5.,247.33
2005. july 6.,247.3
2005. july 7.,248.41
2005. july 8.,247.71
2005. july 11.,247.17
2005. july 12.,247.1
2005. july 13.,246.53
2005. july 14.,246.66
2005. july 15.,246.84
2005. july 18.,246.4
2005. july 19.,246.38
2005. july 20.,246.31
2005. july 21.,245.26
2005. july 22.,245.37
2005. july 25.,245.65
2005. july 26.,245.49
2005. july 27.,245.54
2005. july 28.,245.15
2005. july 29.,244.99
2005. august 1.,245.09
2005. august 2.,244.91
2005. august 3.,244.54
2005. august 4.,244.25
2005. august 5.,243.99
2005. august 8.,243.64
2005. august 9.,243.88
2005. august 10.,243.64
2005. august 11.,243.38
2005. august 12.,243.82
2005. august 15.,244.01
2005. august 16.,244
2005. august 17.,244.06
2005. august 18.,243.75
2005. august 19.,243.47
2005. august 22.,243.7
2005. august 23.,245.03
2005. august 24.,245.7
2005. august 25.,246.17
2005. august 26.,245.8
2005. august 29.,245.82
2005. august 30.,244.9
2005. august 31.,244.7
2005. september 1.,243.7
2005. september 2.,243.73
2005. september 5.,243.58
2005. september 6.,244.07
2005. september 7.,243.79
2005. september 8.,244.01
2005. september 9.,244.67
2005. september 12.,244.65
2005. september 13.,245.17
2005. september 14.,245.72
2005. september 15.,245.29
2005. september 16.,245.46
2005. september 19.,246.08
2005. september 20.,246.13
2005. september 21.,246.76
2005. september 22.,247.49
2005. september 23.,248.09
2005. september 26.,247.66
2005. september 27.,246.74
2005. september 28.,247.99
2005. september 29.,248.94
2005. september 30.,249.59
2005. october 3.,249.88
2005. october 4.,250.85
2005. october 5.,249.68
2005. october 6.,250.17
2005. october 7.,251.63
2005. october 10.,250.44
2005. october 11.,250.09
2005. october 12.,249.94
2005. october 13.,251.29
2005. october 14.,253.3
2005. october 17.,252.19
2005. october 18.,251.8
2005. october 19.,253.19
2005. october 20.,253.22
2005. october 21.,253.96
2005. october 24.,254.03
2005. october 25.,253.94
2005. october 26.,251.9
2005. october 27.,252.35
2005. october 28.,251.04
2005. november 2.,250.41
2005. november 3.,249.71
2005. november 4.,248.94
2005. november 7.,249.55
2005. november 8.,249.55
2005. november 9.,248.35
2005. november 10.,250.8
2005. november 11.,251.51
2005. november 14.,250.3
2005. november 15.,249.89
2005. november 16.,250.25
2005. november 17.,251.17
2005. november 18.,252.95
2005. november 21.,253.96
2005. november 22.,254.28
2005. november 23.,253.05
2005. november 24.,251.64
2005. november 25.,251.3
2005. november 28.,250.71
2005. november 29.,251.3
2005. november 30.,252.56
2005. december 1.,253.63
2005. december 2.,252.06
2005. december 5.,251.6
2005. december 6.,251.3
2005. december 7.,253.73
2005. december 8.,255.93
2005. december 9.,255.7
2005. december 12.,255.63
2005. december 13.,252.88
2005. december 14.,252.29
2005. december 15.,253.09
2005. december 16.,253.36
2005. december 19.,253
2005. december 20.,251.47
2005. december 21.,251.11
2005. december 22.,250.87
2005. december 23.,251.25
2005. december 27.,251.23
2005. december 28.,251.29
2005. december 29.,251.96
2005. december 30.,252.73
2006. january 2.,252.65
2006. january 3.,252.15
2006. january 4.,251.11
2006. january 5.,250.35
2006. january 6.,250.71
2006. january 9.,249.99
2006. january 10.,250.42
2006. january 11.,250.41
2006. january 12.,250.21
2006. january 13.,250.43
2006. january 16.,250.37
2006. january 17.,249.96
2006. january 18.,252.1
2006. january 19.,251.42
2006. january 20.,251.2
2006. january 23.,250.63
2006. january 24.,250.03
2006. january 25.,249.65
2006. january 26.,249.55
2006. january 27.,251.65
2006. january 30.,251.36
2006. january 31.,252.43
2006. february 1.,251.34
2006. february 2.,251.52
2006. february 3.,250.95
2006. february 6.,250.33
2006. february 7.,250.55
2006. february 8.,251.1
2006. february 9.,251.13
2006. february 10.,250.92
2006. february 13.,251.27
2006. february 14.,251.65
2006. february 15.,251.27
2006. february 16.,250.81
2006. february 17.,251.69
2006. february 20.,251.55
2006. february 21.,251.75
2006. february 22.,253.13
2006. february 23.,253.14
2006. february 24.,252.94
2006. february 27.,252.45
2006. february 28.,252.65
2006. march 1.,253.34
2006. march 2.,253.28
2006. march 3.,254.32
2006. march 6.,254.4
2006. march 7.,255.15
2006. march 8.,255.3
2006. march 9.,256.75
2006. march 10.,258.5
2006. march 13.,259.25
2006. march 14.,265.85
2006. march 16.,261.36
2006. march 17.,259.35
2006. march 20.,262.14
2006. march 21.,263.99
2006. march 22.,266.95
2006. march 23.,263.01
2006. march 24.,264.7
2006. march 27.,263.9
2006. march 28.,266.44
2006. march 29.,267.32
2006. march 30.,265.74
2006. march 31.,265.54
2006. april 3.,263.04
2006. april 4.,264.53
2006. april 5.,266.08
2006. april 6.,268.53
2006. april 7.,267.73
2006. april 10.,266.87
2006. april 11.,265.7
2006. april 12.,264.68
2006. april 13.,266.52
2006. april 14.,266.72
2006. april 18.,266.57
2006. april 19.,264.5
2006. april 20.,265.21
2006. april 21.,265.59
2006. april 24.,262.55
2006. april 25.,263.08
2006. april 26.,265.22
2006. april 27.,264.81
2006. april 28.,263.61
2006. may 2.,263.61
2006. may 3.,262.4
2006. may 4.,260.88
2006. may 5.,260.26
2006. may 8.,259.25
2006. may 9.,259.41
2006. may 10.,260.43
2006. may 11.,260.4
2006. may 12.,264.4
2006. may 15.,268.34
2006. may 16.,264.7
2006. may 17.,262.02
2006. may 18.,265.47
2006. may 19.,263.18
2006. may 22.,264.78
2006. may 23.,263.27
2006. may 24.,262.78
2006. may 25.,262.31
2006. may 26.,260.98
2006. may 29.,261.05
2006. may 30.,261.38
2006. may 31.,262.71
2006. june 1.,263.06
2006. june 2.,261.92
2006. june 6.,263.3
2006. june 7.,262.88
2006. june 8.,262.85
2006. june 9.,263.73
2006. june 12.,265.61
2006. june 13.,269.73
2006. june 14.,268.88
2006. june 15.,269.43
2006. june 16.,272.41
2006. june 19.,274.11
2006. june 20.,274.41
2006. june 21.,277.32
2006. june 22.,276.42
2006. june 23.,279.6
2006. june 26.,280.87
2006. june 27.,279.3
2006. june 28.,279.88
2006. june 29.,282.19
2006. june 30.,281.93
2006. july 3.,282.07
2006. july 4.,279.21
2006. july 5.,280.38
2006. july 6.,282.69
2006. july 7.,280.55
2006. july 10.,280.4
2006. july 11.,277.75
2006. july 12.,276.25
2006. july 13.,280.45
2006. july 14.,282.62
2006. july 17.,280.95
2006. july 18.,278.78
2006. july 19.,277.81
2006. july 20.,275.63
2006. july 21.,275.64
2006. july 24.,278.68
2006. july 25.,272.87
2006. july 26.,272.41
2006. july 27.,271.22
2006. july 28.,270.85
2006. july 31.,271.95
2006. august 1.,272.2
2006. august 2.,273.87
2006. august 3.,272.1
2006. august 4.,272.5
2006. august 7.,270.38
2006. august 8.,270.37
2006. august 9.,269.45
2006. august 10.,269.9
2006. august 11.,269.81
2006. august 14.,271.99
2006. august 15.,275.56
2006. august 16.,275.87
2006. august 17.,273.8
2006. august 18.,277.68
2006. august 21.,279.96
2006. august 22.,278.38
2006. august 23.,275.1
2006. august 24.,277.73
2006. august 25.,277.82
2006. august 28.,277.2
2006. august 29.,275.48
2006. august 30.,275.81
2006. august 31.,274.76
2006. september 1.,277.35
2006. september 4.,277.09
2006. september 5.,276.51
2006. september 6.,275.27
2006. september 7.,277.42
2006. september 8.,275.05
2006. september 11.,275.49
2006. september 12.,274.89
2006. september 13.,273.75
2006. september 14.,273.51
2006. september 15.,272.84
2006. september 18.,272.22
2006. september 19.,274.07
2006. september 20.,273.22
2006. september 21.,275.68
2006. september 22.,276.55
2006. september 25.,275.25
2006. september 26.,273.72
2006. september 27.,272.76
2006. september 28.,273.35
2006. september 29.,273.49
2006. october 2.,273.4
2006. october 3.,275.1
2006. october 4.,276.43
2006. october 5.,274.35
2006. october 6.,274.1
2006. october 9.,271.95
2006. october 10.,270.52
2006. october 11.,267.35
2006. october 12.,267.02
2006. october 13.,265.74
2006. october 16.,265.01
2006. october 17.,265.91
2006. october 18.,267.08
2006. october 19.,264.31
2006. october 20.,262.07
2006. october 24.,262.99
2006. october 25.,262.6
2006. october 26.,261.44
2006. october 27.,261.81
2006. october 30.,261.88
2006. october 31.,261.97
2006. november 2.,259.44
2006. november 3.,260.6
2006. november 6.,259.87
2006. november 7.,260.19
2006. november 8.,260.92
2006. november 9.,260.99
2006. november 10.,261.34
2006. november 13.,260.77
2006. november 14.,258.87
2006. november 15.,257.31
2006. november 16.,257.38
2006. november 17.,257.5
2006. november 20.,258.4
2006. november 21.,256.39
2006. november 22.,257.33
2006. november 23.,258.42
2006. november 24.,260
2006. november 27.,259.01
2006. november 28.,258.48
2006. november 29.,257.19
2006. november 30.,255.98
2006. december 1.,255.5
2006. december 4.,255.71
2006. december 5.,255.4
2006. december 6.,255.24
2006. december 7.,255.97
2006. december 8.,256.9
2006. december 11.,256.2
2006. december 12.,254.5
2006. december 13.,253.49
2006. december 14.,253.09
2006. december 15.,252.75
2006. december 18.,253.2
2006. december 19.,253.45
2006. december 20.,252.81
2006. december 21.,252.54
2006. december 22.,252.47
2006. december 27.,253.27
2006. december 28.,252.75
2006. december 29.,252.3
2007. january 2.,251.28
2007. january 3.,251.15
2007. january 4.,252.05
2007. january 5.,254.81
2007. january 8.,254.15
2007. january 9.,253.33
2007. january 10.,254.87
2007. january 11.,255.2
2007. january 12.,254.13
2007. january 15.,252.09
2007. january 16.,252.79
2007. january 17.,254.18
2007. january 18.,252.24
2007. january 19.,251.58
2007. january 22.,251.66
2007. january 23.,252.97
2007. january 24.,253.53
2007. january 25.,253.36
2007. january 26.,256.29
2007. january 29.,256.13
2007. january 30.,258.46
2007. january 31.,258.04
2007. february 1.,255.04
2007. february 2.,255.7
2007. february 5.,254.82
2007. february 6.,254.07
2007. february 7.,252.72
2007. february 8.,253.45
2007. february 9.,253.4
2007. february 12.,253.73
2007. february 13.,254.65
2007. february 14.,253.48
2007. february 15.,251.98
2007. february 16.,252.6
2007. february 19.,251.94
2007. february 20.,251.67
2007. february 21.,252.42
2007. february 22.,251.65
2007. february 23.,252.58
2007. february 26.,253.22
2007. february 27.,254.04
2007. february 28.,254.79
2007. march 1.,254.5
2007. march 2.,253.62
2007. march 5.,256.05
2007. march 6.,253.15
2007. march 7.,252.96
2007. march 8.,251.53
2007. march 9.,251.3
2007. march 12.,248.83
2007. march 13.,249.69
2007. march 14.,251.75
2007. march 19.,245.67
2007. march 20.,246.18
2007. march 21.,247.29
2007. march 22.,245.95
2007. march 23.,246.75
2007. march 26.,246.69
2007. march 27.,248.34
2007. march 28.,249.63
2007. march 29.,248.53
2007. march 30.,247.83
2007. april 2.,247.02
2007. april 3.,247.26
2007. april 4.,245.83
2007. april 5.,245.82
2007. april 6.,246.03
2007. april 10.,246.04
2007. april 11.,244.96
2007. april 12.,245.49
2007. april 13.,245.64
2007. april 16.,245.32
2007. april 17.,245.99
2007. april 18.,245.75
2007. april 19.,247.35
2007. april 20.,245.63
2007. april 23.,245.08
2007. april 24.,245.83
2007. april 25.,246.05
2007. april 26.,245.74
2007. april 27.,246.42
2007. may 2.,246.97
2007. may 3.,246.7
2007. may 4.,246.53
2007. may 7.,246.52
2007. may 8.,245.78
2007. may 9.,247.46
2007. may 10.,247.1
2007. may 11.,249.2
2007. may 14.,247.44
2007. may 15.,248.43
2007. may 16.,248.07
2007. may 17.,249.13
2007. may 18.,250.73
2007. may 21.,249.94
2007. may 22.,247.85
2007. may 23.,248.65
2007. may 24.,249.47
2007. may 25.,250.14
2007. may 29.,250.37
2007. may 30.,251.05
2007. may 31.,250.35
2007. june 1.,249.91
2007. june 4.,249.69
2007. june 5.,250.38
2007. june 6.,251.9
2007. june 7.,252.83
2007. june 8.,254.87
2007. june 11.,254.19
2007. june 12.,252.84
2007. june 13.,254.87
2007. june 14.,253.52
2007. june 15.,251.56
2007. june 18.,250.13
2007. june 19.,250.47
2007. june 20.,249.08
2007. june 21.,248.75
2007. june 22.,247.58
2007. june 25.,246.88
2007. june 26.,247.76
2007. june 27.,248.06
2007. june 28.,247.23
2007. june 29.,245.9
2007. july 2.,245.78
2007. july 3.,245.94
2007. july 4.,246.1
2007. july 5.,246.33
2007. july 6.,246.93
2007. july 9.,245.75
2007. july 10.,245.34
2007. july 11.,246.57
2007. july 12.,246.68
2007. july 13.,245.55
2007. july 16.,245.4
2007. july 17.,245.51
2007. july 18.,246.29
2007. july 19.,245.68
2007. july 20.,245.43
2007. july 23.,245.76
2007. july 24.,246.06
2007. july 25.,246.7
2007. july 26.,248.35
2007. july 27.,251
2007. july 30.,252.06
2007. july 31.,250.71
2007. august 1.,253.41
2007. august 2.,251.87
2007. august 3.,250.55
2007. august 6.,252
2007. august 7.,250.66
2007. august 8.,249.27
2007. august 9.,250.04
2007. august 10.,252.17
2007. august 13.,252.6
2007. august 14.,253.13
2007. august 15.,258.17
2007. august 16.,259.38
2007. august 17.,260.8
2007. august 21.,261.17
2007. august 22.,259.96
2007. august 23.,258.04
2007. august 24.,258.98
2007. august 27.,256.85
2007. august 28.,257.63
2007. august 29.,258.05
2007. august 30.,255.45
2007. august 31.,254.06
2007. september 3.,254.82
2007. september 4.,256.04
2007. september 5.,255.3
2007. september 6.,255.13
2007. september 7.,254.35
2007. september 10.,256.58
2007. september 11.,256.47
2007. september 12.,254.17
2007. september 13.,254.09
2007. september 14.,254.45
2007. september 17.,255.41
2007. september 18.,255.04
2007. september 19.,252.19
2007. september 20.,251.13
2007. september 21.,250.31
2007. september 24.,250.36
2007. september 25.,250.45
2007. september 26.,250.82
2007. september 27.,250.32
2007. september 28.,250.76
2007. october 1.,250.93
2007. october 2.,250.95
2007. october 3.,251.32
2007. october 4.,252.91
2007. october 5.,251.66
2007. october 8.,250.39
2007. october 9.,250.58
2007. october 10.,249.35
2007. october 11.,249.55
2007. october 12.,249.62
2007. october 15.,249.88
2007. october 16.,250.88
2007. october 17.,250.73
2007. october 18.,250.42
2007. october 19.,250.7
2007. october 24.,251.23
2007. october 25.,251
2007. october 26.,251
2007. october 29.,251.05
2007. october 30.,250.93
2007. october 31.,251.13
2007. november 5.,252.8
2007. november 6.,252.05
2007. november 7.,252.89
2007. november 8.,253.75
2007. november 9.,252.84
2007. november 12.,254.17
2007. november 13.,254
2007. november 14.,253.38
2007. november 15.,254.37
2007. november 16.,253.95
2007. november 19.,254.05
2007. november 20.,255.01
2007. november 21.,255.93
2007. november 22.,256.56
2007. november 23.,257.06
2007. november 26.,256.55
2007. november 27.,258.01
2007. november 28.,256.1
2007. november 29.,254.23
2007. november 30.,253.43
2007. december 3.,253.4
2007. december 4.,253.08
2007. december 5.,252.66
2007. december 6.,252.28
2007. december 7.,252.15
2007. december 10.,251.68
2007. december 11.,251.75
2007. december 12.,252.21
2007. december 13.,252.37
2007. december 14.,252.99
2007. december 17.,254.82
2007. december 18.,254.47
2007. december 19.,254.1
2007. december 20.,254.22
2007. december 21.,253.83
2007. december 27.,254.15
2007. december 28.,253.35
2008. january 2.,252.95
2008. january 3.,253.34
2008. january 4.,254.03
2008. january 7.,254.55
2008. january 8.,254.45
2008. january 9.,254.36
2008. january 10.,254.29
2008. january 11.,253.5
2008. january 14.,253.63
2008. january 15.,253.62
2008. january 16.,255.07
2008. january 17.,255.19
2008. january 18.,256.86
2008. january 21.,258.04
2008. january 22.,259.95
2008. january 23.,257.88
2008. january 24.,257.95
2008. january 25.,257.04
2008. january 28.,258.63
2008. january 29.,258.57
2008. january 30.,258.05
2008. january 31.,259.52
2008. february 1.,258.09
2008. february 4.,256.6
2008. february 5.,257.73
2008. february 6.,260.98
2008. february 7.,263.82
2008. february 8.,265.55
2008. february 11.,265.92
2008. february 12.,264.16
2008. february 13.,262.83
2008. february 14.,261.37
2008. february 15.,262.16
2008. february 18.,262.78
2008. february 19.,263.53
2008. february 20.,265.8
2008. february 21.,264.5
2008. february 22.,265.28
2008. february 25.,263.57
2008. february 26.,259.72
2008. february 27.,257.33
2008. february 28.,258.54
2008. february 29.,262.17
2008. march 3.,264.34
2008. march 4.,262.59
2008. march 5.,263.65
2008. march 6.,262.75
2008. march 7.,266.01
2008. march 10.,265.21
2008. march 11.,262.25
2008. march 12.,259.01
2008. march 13.,261.4
2008. march 14.,257.26
2008. march 17.,261.26
2008. march 18.,258.75
2008. march 19.,257.47
2008. march 20.,256.87
2008. march 21.,257.53
2008. march 25.,256.46
2008. march 26.,256.64
2008. march 27.,256.05
2008. march 28.,256.91
2008. march 31.,259.36
2008. april 1.,259.41
2008. april 2.,257.78
2008. april 3.,256.84
2008. april 4.,257.4
2008. april 7.,254.3
2008. april 8.,253.63
2008. april 9.,254.17
2008. april 10.,253.66
2008. april 11.,251.57
2008. april 14.,252.36
2008. april 15.,251.88
2008. april 16.,252.85
2008. april 17.,254.12
2008. april 18.,253.75
2008. april 21.,252.63
2008. april 22.,252.24
2008. april 23.,250.94
2008. april 24.,252.23
2008. april 25.,253.3
2008. april 28.,252.47
2008. april 29.,252.45
2008. april 30.,253.43
2008. may 5.,252.22
2008. may 6.,252.16
2008. may 7.,252.68
2008. may 8.,253.17
2008. may 9.,252.62
2008. may 13.,249.96
2008. may 14.,249.43
2008. may 15.,250.2
2008. may 16.,248.64
2008. may 19.,247.17
2008. may 20.,246.18
2008. may 21.,243.6
2008. may 22.,244.4
2008. may 23.,245.24
2008. may 26.,243.66
2008. may 27.,243.81
2008. may 28.,243.86
2008. may 29.,241.05
2008. may 30.,240.8
2008. june 2.,241.56
2008. june 3.,241.84
2008. june 4.,242.03
2008. june 5.,241.6
2008. june 6.,245.1
2008. june 9.,247.6
2008. june 10.,247.41
2008. june 11.,247.1
2008. june 12.,247.38
2008. june 13.,247.28
2008. june 16.,247.14
2008. june 17.,246.76
2008. june 18.,243.94
2008. june 19.,242.08
2008. june 20.,239.35
2008. june 23.,238.18
2008. june 24.,238.57
2008. june 25.,237.36
2008. june 26.,235.88
2008. june 27.,239
2008. june 30.,237.03
2008. july 1.,235.53
2008. july 2.,236.48
2008. july 3.,236.32
2008. july 4.,233.6
2008. july 7.,233.52
2008. july 8.,232.55
2008. july 9.,230.75
2008. july 10.,230.75
2008. july 11.,231.19
2008. july 14.,230.31
2008. july 15.,231.41
2008. july 16.,232.97
2008. july 17.,231.16
2008. july 18.,229.11
2008. july 21.,229.46
2008. july 22.,229.45
2008. july 23.,232.35
2008. july 24.,232.65
2008. july 25.,230.87
2008. july 28.,231.45
2008. july 29.,231.3
2008. july 30.,230.39
2008. july 31.,231.19
2008. august 1.,233.41
2008. august 4.,233.25
2008. august 5.,235.22
2008. august 6.,236.35
2008. august 7.,235.28
2008. august 8.,235.8
2008. august 11.,236.13
2008. august 12.,237.85
2008. august 13.,236.17
2008. august 14.,237.35
2008. august 15.,239.3
2008. august 18.,238.07
2008. august 19.,236.84
2008. august 21.,233.65
2008. august 22.,234
2008. august 25.,234.27
2008. august 26.,234.48
2008. august 27.,235.6
2008. august 28.,237.61
2008. august 29.,238.21
2008. september 1.,237.73
2008. september 2.,238.92
2008. september 3.,238.68
2008. september 4.,238.67
2008. september 5.,241.99
2008. september 8.,241.63
2008. september 9.,239.58
2008. september 10.,240.46
2008. september 11.,240.25
2008. september 12.,238.48
2008. september 15.,240.92
2008. september 16.,243.25
2008. september 17.,241.64
2008. september 18.,243.67
2008. september 19.,240.38
2008. september 22.,239.66
2008. september 23.,240.26
2008. september 24.,240
2008. september 25.,241.16
2008. september 26.,240.47
2008. september 29.,242.53
2008. september 30.,243.17
2008. october 1.,241.52
2008. october 2.,242.98
2008. october 3.,245.76
2008. october 6.,248.54
2008. october 7.,249.73
2008. october 8.,252.88
2008. october 9.,249.25
2008. october 10.,264.03
2008. october 13.,253.27
2008. october 14.,252.65
2008. october 15.,266.09
2008. october 16.,261.98
2008. october 17.,267.35
2008. october 20.,266.19
2008. october 21.,271.76
2008. october 22.,275.79
2008. october 27.,271.9
2008. october 28.,264.02
2008. october 29.,255.29
2008. october 30.,254.75
2008. october 31.,261.1
2008. november 3.,257.21
2008. november 4.,260.1
2008. november 5.,257.13
2008. november 6.,261.44
2008. november 7.,264.33
2008. november 10.,266.78
2008. november 11.,268.47
2008. november 12.,270.77
2008. november 13.,270.29
2008. november 14.,271.58
2008. november 17.,267.03
2008. november 18.,270.03
2008. november 19.,271.8
2008. november 20.,272.03
2008. november 21.,266.36
2008. november 24.,265.48
2008. november 25.,260.88
2008. november 26.,260.68
2008. november 27.,261.29
2008. november 28.,259.59
2008. december 1.,261.95
2008. december 2.,260.76
2008. december 3.,261.53
2008. december 4.,261.06
2008. december 5.,262.01
2008. december 8.,263.4
2008. december 9.,263.46
2008. december 10.,262.76
2008. december 11.,263.49
2008. december 12.,263.89
2008. december 15.,265.79
2008. december 16.,268.57
2008. december 17.,266.6
2008. december 18.,267
2008. december 19.,264.8
2008. december 22.,265.5
2008. december 23.,263.54
2008. december 29.,266.61
2008. december 30.,265.45
2008. december 31.,264.78
2009. january 5.,265.82
2009. january 6.,267.42
2009. january 7.,264.86
2009. january 8.,270.19
2009. january 9.,275.83
2009. january 12.,278.7
2009. january 13.,281.73
2009. january 14.,277.06
2009. january 15.,280.8
2009. january 16.,276.41
2009. january 19.,280.58
2009. january 20.,285.07
2009. january 21.,283.58
2009. january 22.,282.42
2009. january 23.,287.41
2009. january 26.,286.89
2009. january 27.,284.07
2009. january 28.,285.78
2009. january 29.,287.3
2009. january 30.,294.93
2009. february 2.,297.68
2009. february 3.,298.73
2009. february 4.,300
2009. february 5.,296.44
2009. february 6.,289.78
2009. february 9.,290.51
2009. february 10.,290.34
2009. february 11.,294.39
2009. february 12.,298.08
2009. february 13.,298.34
2009. february 16.,302.66
2009. february 17.,306.13
2009. february 18.,307.75
2009. february 19.,300.03
2009. february 20.,304.95
2009. february 23.,300.81
2009. february 24.,298.29
2009. february 25.,298.88
2009. february 26.,300.21
2009. february 27.,296.54
2009. march 2.,306.23
2009. march 3.,306.86
2009. march 4.,310.2
2009. march 5.,309.54
2009. march 6.,316
2009. march 9.,310.83
2009. march 10.,307.96
2009. march 11.,300.11
2009. march 12.,305.67
2009. march 13.,295
2009. march 16.,299.46
2009. march 17.,298.11
2009. march 18.,300.71
2009. march 19.,298.93
2009. march 20.,303
2009. march 23.,303.98
2009. march 24.,301.01
2009. march 25.,300.88
2009. march 26.,301.62
2009. march 27.,303.43
2009. march 30.,307.14
2009. march 31.,309.22
2009. april 1.,307.13
2009. april 2.,299.7
2009. april 3.,295.78
2009. april 6.,292.83
2009. april 7.,298.11
2009. april 8.,297.41
2009. april 9.,292.15
2009. april 10.,289.1
2009. april 14.,290.73
2009. april 15.,289.16
2009. april 16.,291.93
2009. april 17.,293.9
2009. april 20.,298.32
2009. april 21.,299.12
2009. april 22.,297.94
2009. april 23.,297.2
2009. april 24.,296.18
2009. april 27.,295.22
2009. april 28.,296.25
2009. april 29.,292.02
2009. april 30.,287.52
2009. may 4.,287.95
2009. may 5.,284.25
2009. may 6.,284.47
2009. may 7.,278.74
